state_name,status
Alabama,Banned
Arkansas,Banned
Idaho,Banned
Kentucky,Banned
Louisiana,Banned
Mississippi,Banned
Missouri,Banned
North Dakota,Banned
Oklahoma,Banned
South Dakota,Banned
Tennessee,Banned
Texas,Banned
West Virginia,Banned
Wisconsin,Banned
Georgia,Gestational limit
Arizona,Gestational limit
Florida,Gestational limit
Utah,Gestational limit
North Carolina,Gestational limit
Indiana,Ban blocked
Iowa,Ban blocked
Montana,Ban blocked
Ohio,Ban blocked
Wyoming,Ban blocked
Alaska,Legal
Kansas,Legal
Nebraska,Legal
New Hampshire,Legal
South Carolina,Legal
Virginia,Legal
"Washington, D.C.",Legal
California,Legal with new protections
Colorado,Legal with new protections
Connecticut,Legal with new protections
Delaware,Legal with new protections
Hawaii,Legal with new protections
Illinois,Legal with new protections
Maine,Legal with new protections
Maryland,Legal with new protections
Massachusetts,Legal with new protections
Michigan,Legal with new protections
Minnesota,Legal with new protections
Nevada,Legal with new protections
New Jersey,Legal with new protections
New Mexico,Legal with new protections
New York,Legal with new protections
Oregon,Legal with new protections
Pennsylvania,Legal with new protections
Rhode Island,Legal with new protections
Vermont,Legal with new protections
Washington,Legal with new protections
